Day,Time,Currency,Impact,Event,Actual,Forecast,Previous,SourceURL
20070413,8:30am,USD,3,PPI m/m,1.0%,0.7%,1.3%,https://www.forexfactory.com/calendar?month=apr.2007
20070417,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=apr.2007
20070417,8:30am,USD,3,CPI y/y,2.8%,2.8%,2.4%,https://www.forexfactory.com/calendar?month=apr.2007
20070511,8:30am,USD,3,PPI m/m,0.7%,0.6%,1.0%,https://www.forexfactory.com/calendar?month=may.2007
20070515,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=may.2007
20070515,8:30am,USD,3,CPI y/y,2.6%,2.6%,2.8%,https://www.forexfactory.com/calendar?month=may.2007
20070614,8:30am,USD,3,PPI m/m,0.9%,0.6%,0.7%,https://www.forexfactory.com/calendar?month=jun.2007
20070615,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=jun.2007
20070615,8:30am,USD,3,CPI y/y,2.7%,2.6%,2.6%,https://www.forexfactory.com/calendar?month=jun.2007
20070717,8:30am,USD,3,PPI m/m,-0.2%,0.2%,0.9%,https://www.forexfactory.com/calendar?month=jul.2007
20070718,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=jul.2007
20070718,8:30am,USD,3,CPI y/y,2.7%,2.6%,2.7%,https://www.forexfactory.com/calendar?month=jul.2007
20070814,8:30am,USD,3,PPI m/m,0.6%,0.1%,-0.2%,https://www.forexfactory.com/calendar?month=aug.2007
20070815,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=aug.2007
20070815,8:30am,USD,3,CPI y/y,2.4%,2.5%,2.7%,https://www.forexfactory.com/calendar?month=aug.2007
20070918,8:30am,USD,3,PPI m/m,-1.4%,-0.2%,0.6%,https://www.forexfactory.com/calendar?month=sep.2007
