date,code,close,isST,peTTM,pe_percentile,pbMRQ,pb_percentile,sample_pe_days,sample_pb_days
2026-04-16,sh.600436,148.07,0,36.919641,0.2,6.172722,0.2,500,500
2026-04-16,sz.000096,9.71,0,44.829609,0.2,1.834716,10.2,500,500
2026-04-16,sz.002259,5.12,0,29.217539,0.33783783783783783,10.134399,52.2,296,500
2026-04-16,sz.003006,16.95,0,24.794522,0.4,4.958813,0.4,500,500
2026-04-16,sh.605228,14.86,0,41.763204,0.4608294930875576,3.10436,47.599999999999994,434,500
2026-04-16,sz.300409,26.77,0,36.688163,0.5089058524173028,2.5746,88.6,393,500
2026-04-16,sz.002933,32.84,0,97.625969,0.5194805194805194,2.501555,43.8,385,500
2026-04-16,sz.000911,5.86,0,46.677529,0.5420054200542005,19.542339,0.4,369,500
2026-04-16,sh.600082,3.0,1,32.073896,0.5681818181818182,1.089906,37.2,176,500
2026-04-16,sh.600993,25.09,0,18.920811,0.6,2.515473,2.0,500,500
2026-04-16,sh.688009,5.35,0,15.368752,0.6,1.196702,11.600000000000001,500,500
2026-04-16,sh.600415,12.33,0,16.08458,0.6,2.946337,27.400000000000002,500,500
2026-04-16,sh.600009,27.43,0,28.843891,0.8,1.623244,0.8,500,500
2026-04-16,sh.605499,194.26,0,24.848342,0.8,11.645521,2.0,500,500
2026-04-16,sh.601188,3.28,0,25.473378,0.8,0.957034,21.2,500,500
2026-04-16,sz.002676,6.94,0,62.677035,0.8,3.768176,57.199999999999996,500,500
2026-04-16,sh.601333,3.07,0,15.252228,0.8080808080808081,0.768622,24.8,495,500
2026-04-16,sh.600770,5.69,0,67.789809,0.8333333333333334,2.157268,76.6,240,500
2026-04-16,sz.000037,10.06,0,37.654368,0.8583690987124464,3.61465,46.2,233,500
2026-04-16,sh.603605,59.98,0,15.046466,1.0,4.227855,1.0,500,500
2026-04-16,sz.000999,27.8,0,13.523894,1.0,2.086677,1.0,500,500
2026-04-16,sh.600030,26.31,0,11.554472,1.0,1.384352,31.8,500,500
2026-04-16,sh.603501,93.71,0,29.213844,1.050420168067227,4.229995,1.0,476,500
2026-04-16,sh.600809,141.16,0,14.003763,1.2,4.440712,1.2,500,500
2026-04-16,sh.603369,26.36,0,11.430777,1.2,1.990878,1.2,500,500
2026-04-16,sz.301078,8.85,0,37.499655,1.2,2.623739,29.2,500,500
2026-04-16,sh.603210,16.77,0,28.253334,1.2096774193548387,3.125373,1.2096774193548387,248,248
2026-04-16,sz.002054,8.58,0,35.001073,1.214574898785425,1.61563,89.0,494,500
2026-04-16,sz.002570,5.06,0,39.760909,1.263157894736842,3.177122,39.0,475,500
2026-04-16,sz.300492,50.95,0,58.030694,1.282051282051282,25.234665,2.4,234,500
2026-04-16,sh.688525,286.8,0,34.190587,1.3333333333333335,15.864017,88.8,75,500
2026-04-16,sh.600018,4.98,0,8.546827,1.4000000000000001,0.82257,0.4,500,500
2026-04-16,sh.600690,21.06,0,10.100492,1.4000000000000001,1.663821,1.4000000000000001,500,500
2026-04-16,sz.002039,20.85,0,14.854457,1.4000000000000001,2.007333,96.39999999999999,500,500
2026-04-16,sh.600684,4.65,0,69.502231,1.4124293785310735,4.060781,1.0,354,500
