Feature,Average_Importance
XQQ_Vol_Regime,53.375
DXY_Return_5D,40.875
Price_vs_MA120,40.333333333333336
HYG_IEF_Ratio,38.166666666666664
VIX_Regime,35.958333333333336
Return_1D,35.125
CPI_Surprise_60D_Sum,33.916666666666664
DXY_Return_20D,32.5
DXY_Trend,31.083333333333332
Yield_Spread_Change_20D,27.083333333333332
TNX,24.75
Return_20D,21.833333333333332
IRX,20.541666666666668
Inflation_Shock_x_VIX,20.458333333333332
PPI_Surprise_120D_Sum,20.25
Price_vs_MA60,20.166666666666668
VIX_Zscore,19.166666666666668
XQQ_Vol_20D,18.666666666666668
TNX_Change_5D,18.541666666666668
CPI_Surprise_120D_Sum,17.958333333333332
Yield_Spread,17.125
SPY_Return_20D,16.25
HYG_IEF_Change_20D,16.041666666666668
PPI_Surprise_60D_Sum,15.333333333333334
PPI_Surprise_Mean_Last,14.083333333333334
Inflation_Surprise_60D_Sum,13.666666666666666
Inflation_Surprise_Mean_Event,13.083333333333334
VIX,12.875
SPY_Trend,12.791666666666666
SPY_Return_5D,12.583333333333334
CPI_Shock_x_VIX,12.208333333333334
VIX_MA60,12.125
VIX_MA20,11.583333333333334
TNX_Change_20D,11.041666666666666
TNX_Change,10.666666666666666
Return_5D,10.333333333333334
Inflation_Surprise_MaxAbs_Event,9.916666666666666
Price_vs_MA20,9.666666666666666
Inflation_Surprise_120D_Sum,9.666666666666666
Inflation_Surprise_Sum_Event,7.25
CPI_Surprise_Mean_Last,4.916666666666667
CPI_Shock_x_TNX_Change,3.75
CPI_Surprise_Mean_Event,3.5416666666666665
Inflation_Strongest_Event_Surprise,2.875
Inflation_Surprise_Mean_Last,2.0833333333333335
PPI_Shock_x_VIX,2.0
CPI_Shock_Negative,1.9166666666666667
CPI_Shock_x_SPY_Trend,1.4166666666666667
PPI_Surprise_Mean_Event,1.1666666666666667
Inflation_Shock_Positive,0.3333333333333333
CPI_Shock_Positive,0.20833333333333334
Inflation_Shock_Negative,0.20833333333333334
PPI_Shock_Negative,0.16666666666666666
PPI_Shock_x_SPY_Trend,0.16666666666666666
PPI_Shock_Positive,0.0
Days_Since_Inflation,0.0
PPI_Shock_x_TNX_Change,0.0
